S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-06-23,321.00,321.00,321.00,321.00,0.00,"5,000.00","1,605,000.00"
2,2024-03-14,202.0,202.0,202.0,202.0,0.0,"56,000.00","11,312,000.00"
3,2023-12-05,150.0,150.0,150.0,150.0,0.0,"40,113.00","6,016,950.00"
4,2023-02-27,181.0,181.0,181.0,181.0,0.0,"10,000.00","1,810,000.00"
5,2022-06-16,130.4,130.4,130.4,130.4,-1.95,"73,450.00","9,577,880.00"
6,2022-06-15,133.0,133.0,133.0,133.0,0.0,"5,650.00","751,450.00"
7,2021-03-07,118.0,118.0,118.0,118.0,0.0,200.00,"23,600.00"
8,2021-03-01,118.0,118.0,118.0,118.0,0.0,"1,500.00","177,000.00"
9,2021-02-25,118.0,118.0,118.0,118.0,0.0,"1,400.00","165,200.00"
10,2019-06-13,118.0,118.0,118.0,118.0,-26.25,"8,000.00","944,000.00"
11,2018-01-01,160.0,160.0,160.0,160.0,0.0,"4,000.00","640,000.00"
12,2017-12-26,160.0,160.0,160.0,160.0,0.0,"9,000.00","1,440,000.00"
